product_id,location,stock_level,daily_sales,expiry_days,lead_time_days,reorder_flag,timestamp
VITC004,Mumbai,227,12,83,9,0,2026-01-19T12:56:13.558520
AMOX002,Chennai,138,5,334,12,0,2026-01-19T12:56:13.558520
INS003,Delhi,240,7,41,11,0,2026-01-19T12:56:13.558520
INS003,Mumbai,176,5,69,7,0,2026-01-19T12:56:13.558520
VITC004,Mumbai,286,15,296,5,0,2026-01-19T12:56:13.558520
PCM001,Bangalore,186,6,207,11,0,2026-01-19T12:56:13.558520
INS003,Hyderabad,135,5,294,10,0,2026-01-19T12:56:13.558520
INS003,Hyderabad,176,8,244,4,0,2026-01-19T12:56:13.558520
VITC004,Mumbai,27,11,324,10,1,2026-01-19T12:56:13.558520
VITC004,Delhi,279,4,213,3,0,2026-01-19T12:56:13.558520
VITC004,Bangalore,52,16,247,13,1,2026-01-19T12:56:13.558520
VITC004,Chennai,253,17,333,14,0,2026-01-19T12:56:13.558520
AZI005,Chennai,293,6,41,12,0,2026-01-19T12:56:13.558520
AMOX002,Mumbai,216,18,358,11,0,2026-01-19T12:56:13.558520
PCM001,Delhi,212,22,195,14,1,2026-01-19T12:56:13.558520
VITC004,Mumbai,93,19,236,6,1,2026-01-19T12:56:13.558520
AMOX002,Delhi,19,9,184,4,1,2026-01-19T12:56:13.558520
INS003,Chennai,158,10,164,5,0,2026-01-19T12:56:13.558520
PCM001,Bangalore,276,21,48,14,1,2026-01-19T12:56:13.558520
AZI005,Delhi,73,2,313,14,0,2026-01-19T12:56:13.558520
VITC004,Chennai,250,25,254,7,0,2026-01-19T12:56:13.558520
AMOX002,Hyderabad,39,14,75,14,1,2026-01-19T12:56:13.558520
VITC004,Bangalore,168,13,227,5,0,2026-01-19T12:56:13.558520
AMOX002,Chennai,207,18,356,6,0,2026-01-19T12:56:13.558520
AZI005,Delhi,211,18,163,10,0,2026-01-19T12:56:13.558520
AMOX002,Hyderabad,110,21,38,5,0,2026-01-19T12:56:13.558520
VITC004,Delhi,27,25,239,6,1,2026-01-19T12:56:13.558520
PCM001,Mumbai,142,3,317,8,0,2026-01-19T12:56:13.558520
AMOX002,Hyderabad,289,18,174,4,0,2026-01-19T12:56:13.558520
INS003,Bangalore,92,6,227,11,0,2026-01-19T12:56:13.558520
INS003,Chennai,102,7,20,6,0,2026-01-19T12:56:13.558520
PCM001,Delhi,15,16,190,6,1,2026-01-19T12:56:13.558520
AMOX002,Mumbai,161,25,73,8,1,2026-01-19T12:56:13.558520
AMOX002,Delhi,209,1,62,2,0,2026-01-19T12:56:13.558520
AZI005,Chennai,257,7,129,9,0,2026-01-19T12:56:13.558520
VITC004,Bangalore,213,5,309,7,0,2026-01-19T12:56:13.558520
PCM001,Mumbai,25,11,34,9,1,2026-01-19T12:56:13.558520
AZI005,Bangalore,172,1,30,4,0,2026-01-19T12:56:13.558520
AZI005,Bangalore,76,4,240,11,0,2026-01-19T12:56:13.558520
VITC004,Delhi,42,5,31,10,1,2026-01-19T12:56:13.558520
AZI005,Chennai,258,23,136,5,0,2026-01-19T12:56:13.558520
INS003,Bangalore,125,2,241,7,0,2026-01-19T12:56:13.558520
AZI005,Hyderabad,223,20,74,14,1,2026-01-19T12:56:13.558520
INS003,Chennai,130,14,182,14,1,2026-01-19T12:56:13.558520
PCM001,Hyderabad,24,13,199,5,1,2026-01-19T12:56:13.558520
INS003,Mumbai,125,10,333,10,0,2026-01-19T12:56:13.558520
INS003,Delhi,23,22,204,7,1,2026-01-19T12:56:13.558520
VITC004,Bangalore,298,2,323,12,0,2026-01-19T12:56:13.558520
AZI005,Bangalore,134,25,288,7,1,2026-01-19T12:56:13.558520
AMOX002,Delhi,90,12,248,9,1,2026-01-19T12:56:13.558520
AZI005,Bangalore,139,13,160,3,0,2026-01-19T12:56:13.558520
VITC004,Delhi,10,20,80,10,1,2026-01-19T12:56:13.558520
AMOX002,Chennai,220,7,253,4,0,2026-01-19T12:56:13.558520
AZI005,Hyderabad,293,18,128,3,0,2026-01-19T12:56:13.558520
AZI005,Chennai,268,20,62,3,0,2026-01-19T12:56:13.558520
AZI005,Bangalore,199,21,201,3,0,2026-01-19T12:56:13.558520
INS003,Hyderabad,68,25,76,14,1,2026-01-19T12:56:13.558520
AMOX002,Chennai,92,16,17,11,1,2026-01-19T12:56:13.558520
AMOX002,Delhi,96,8,72,4,0,2026-01-19T12:56:13.558520
INS003,Mumbai,131,20,146,7,1,2026-01-19T12:56:13.558520
VITC004,Delhi,168,14,352,9,0,2026-01-19T12:56:13.558520
PCM001,Mumbai,109,15,246,4,0,2026-01-19T12:56:13.558520
AMOX002,Mumbai,210,13,198,2,0,2026-01-19T12:56:13.558520
PCM001,Bangalore,120,17,203,10,1,2026-01-19T12:56:13.558520
INS003,Chennai,240,16,141,2,0,2026-01-19T12:56:13.558520
PCM001,Bangalore,271,15,159,7,0,2026-01-19T12:56:13.558520
INS003,Chennai,55,17,198,14,1,2026-01-19T12:56:13.558520
VITC004,Bangalore,263,10,176,4,0,2026-01-19T12:56:13.558520
AMOX002,Hyderabad,113,2,42,9,0,2026-01-19T12:56:13.558520
AZI005,Delhi,34,10,109,5,1,2026-01-19T12:56:13.558520
VITC004,Delhi,142,11,339,8,0,2026-01-19T12:56:13.558520
