product_id,location,stock_level,daily_sales,expiry_days,lead_time_days,timestamp
PCM001,Central_Warehouse,897,97,96,7,2024-01-01
AMX500,Central_Warehouse,127,60,88,7,2024-01-01
IBU400,Central_Warehouse,526,64,101,7,2024-01-01
MET850,Central_Warehouse,865,65,44,7,2024-01-01
CTZ010,Central_Warehouse,851,60,190,7,2024-01-01
OMP020,Central_Warehouse,235,64,39,7,2024-01-01
AZI250,Central_Warehouse,160,65,32,7,2024-01-01
DOL650,Central_Warehouse,916,99,71,7,2024-01-01
PAN040,Central_Warehouse,978,65,57,7,2024-01-01
ASP075,Central_Warehouse,876,65,40,7,2024-01-01
PCM001,Central_Warehouse,321,116,335,7,2024-01-02
AMX500,Central_Warehouse,427,68,31,7,2024-01-02
IBU400,Central_Warehouse,606,70,359,7,2024-01-02
MET850,Central_Warehouse,154,71,125,7,2024-01-02
CTZ010,Central_Warehouse,417,68,37,7,2024-01-02
OMP020,Central_Warehouse,236,72,54,7,2024-01-02
AZI250,Central_Warehouse,558,67,38,7,2024-01-02
DOL650,Central_Warehouse,344,112,195,7,2024-01-02
PAN040,Central_Warehouse,438,71,228,7,2024-01-02
ASP075,Central_Warehouse,136,66,353,7,2024-01-02
PCM001,Central_Warehouse,352,109,66,7,2024-01-03
AMX500,Central_Warehouse,378,68,303,7,2024-01-03
IBU400,Central_Warehouse,362,72,279,7,2024-01-03
MET850,Central_Warehouse,468,66,272,7,2024-01-03
CTZ010,Central_Warehouse,253,70,211,7,2024-01-03
OMP020,Central_Warehouse,407,73,107,7,2024-01-03
AZI250,Central_Warehouse,231,72,197,7,2024-01-03
DOL650,Central_Warehouse,845,109,204,7,2024-01-03
PAN040,Central_Warehouse,175,68,296,7,2024-01-03
ASP075,Central_Warehouse,626,69,297,7,2024-01-03
PCM001,Central_Warehouse,715,112,364,7,2024-01-04
AMX500,Central_Warehouse,629,71,52,7,2024-01-04
IBU400,Central_Warehouse,949,66,234,7,2024-01-04
MET850,Central_Warehouse,553,69,251,7,2024-01-04
CTZ010,Central_Warehouse,470,70,172,7,2024-01-04
OMP020,Central_Warehouse,179,71,44,7,2024-01-04
AZI250,Central_Warehouse,776,69,233,7,2024-01-04
DOL650,Central_Warehouse,518,114,182,7,2024-01-04
PAN040,Central_Warehouse,402,67,271,7,2024-01-04
ASP075,Central_Warehouse,376,69,139,7,2024-01-04
PCM001,Central_Warehouse,814,116,36,7,2024-01-05
AMX500,Central_Warehouse,810,70,30,7,2024-01-05
IBU400,Central_Warehouse,244,66,302,7,2024-01-05
MET850,Central_Warehouse,102,71,71,7,2024-01-05
CTZ010,Central_Warehouse,444,71,233,7,2024-01-05
OMP020,Central_Warehouse,430,67,226,7,2024-01-05
AZI250,Central_Warehouse,530,70,80,7,2024-01-05
DOL650,Central_Warehouse,965,109,80,7,2024-01-05
PAN040,Central_Warehouse,502,71,58,7,2024-01-05
ASP075,Central_Warehouse,501,70,260,7,2024-01-05
PCM001,Central_Warehouse,484,131,127,7,2024-01-06
AMX500,Central_Warehouse,664,81,306,7,2024-01-06
IBU400,Central_Warehouse,715,81,56,7,2024-01-06
MET850,Central_Warehouse,689,84,348,7,2024-01-06
CTZ010,Central_Warehouse,283,84,313,7,2024-01-06
OMP020,Central_Warehouse,538,87,275,7,2024-01-06
AZI250,Central_Warehouse,950,87,209,7,2024-01-06
DOL650,Central_Warehouse,848,140,289,7,2024-01-06
PAN040,Central_Warehouse,120,83,346,7,2024-01-06
ASP075,Central_Warehouse,155,88,235,7,2024-01-06
PCM001,Central_Warehouse,498,136,308,7,2024-01-07
AMX500,Central_Warehouse,290,80,102,7,2024-01-07
IBU400,Central_Warehouse,544,83,290,7,2024-01-07
MET850,Central_Warehouse,720,83,218,7,2024-01-07
CTZ010,Central_Warehouse,259,80,229,7,2024-01-07
OMP020,Central_Warehouse,737,83,135,7,2024-01-07
AZI250,Central_Warehouse,132,84,117,7,2024-01-07
DOL650,Central_Warehouse,262,128,347,7,2024-01-07
PAN040,Central_Warehouse,719,81,159,7,2024-01-07
ASP075,Central_Warehouse,759,87,222,7,2024-01-07
PCM001,Central_Warehouse,188,104,142,7,2024-01-08
AMX500,Central_Warehouse,172,61,204,7,2024-01-08
IBU400,Central_Warehouse,788,61,223,7,2024-01-08
MET850,Central_Warehouse,114,64,47,7,2024-01-08
CTZ010,Central_Warehouse,294,61,336,7,2024-01-08
OMP020,Central_Warehouse,627,60,322,7,2024-01-08
AZI250,Central_Warehouse,403,61,207,7,2024-01-08
DOL650,Central_Warehouse,602,97,49,7,2024-01-08
