ds,y,drug
2024-01-30,265,Amoxicillin 500mg
2024-01-31,227,Amoxicillin 500mg
2024-02-01,251,Amoxicillin 500mg
2024-02-02,239,Amoxicillin 500mg
2024-02-03,220,Amoxicillin 500mg
2024-02-04,220,Amoxicillin 500mg
2024-02-05,268,Amoxicillin 500mg
2024-02-06,261,Amoxicillin 500mg
2024-02-07,252,Amoxicillin 500mg
2024-02-08,240,Amoxicillin 500mg
2024-02-09,251,Amoxicillin 500mg
2024-02-10,238,Amoxicillin 500mg
2024-02-11,234,Amoxicillin 500mg
2024-02-12,247,Amoxicillin 500mg
2024-02-13,253,Amoxicillin 500mg
2024-02-14,245,Amoxicillin 500mg
2024-02-15,244,Amoxicillin 500mg
2024-02-16,261,Amoxicillin 500mg
2024-02-17,249,Amoxicillin 500mg
2024-02-18,235,Amoxicillin 500mg
2024-02-19,253,Amoxicillin 500mg
2024-02-20,257,Amoxicillin 500mg
2024-02-21,277,Amoxicillin 500mg
2024-02-22,266,Amoxicillin 500mg
2024-02-23,258,Amoxicillin 500mg
2024-02-24,232,Amoxicillin 500mg
2024-02-25,222,Amoxicillin 500mg
2024-02-26,264,Amoxicillin 500mg
2024-02-27,259,Amoxicillin 500mg
2024-02-28,263,Amoxicillin 500mg
2024-02-29,215,Amoxicillin 500mg
2024-03-01,213,Amoxicillin 500mg
2024-03-02,182,Amoxicillin 500mg
2024-03-03,188,Amoxicillin 500mg
2024-03-04,195,Amoxicillin 500mg
2024-03-05,192,Amoxicillin 500mg
2024-03-06,217,Amoxicillin 500mg
2024-03-07,206,Amoxicillin 500mg
2024-03-08,190,Amoxicillin 500mg
2024-03-09,168,Amoxicillin 500mg
2024-03-10,195,Amoxicillin 500mg
2024-03-11,200,Amoxicillin 500mg
2024-03-12,204,Amoxicillin 500mg
2024-03-13,214,Amoxicillin 500mg
2024-03-14,218,Amoxicillin 500mg
2024-03-15,215,Amoxicillin 500mg
2024-03-16,196,Amoxicillin 500mg
2024-03-17,197,Amoxicillin 500mg
2024-03-18,206,Amoxicillin 500mg
2024-03-19,204,Amoxicillin 500mg
2024-03-20,199,Amoxicillin 500mg
2024-03-21,200,Amoxicillin 500mg
