product_id,location,stock_level,daily_sales,expiry_days,lead_time_days,timestamp
PCM001,Central_Warehouse,416,105,34,7,2024-01-01
AMX500,Central_Warehouse,892,62,291,7,2024-01-01
IBU400,Central_Warehouse,625,64,278,7,2024-01-01
MET850,Central_Warehouse,241,63,348,7,2024-01-01
CTZ010,Central_Warehouse,345,64,180,7,2024-01-01
OMP020,Central_Warehouse,372,63,211,7,2024-01-01
AZI250,Central_Warehouse,671,65,253,7,2024-01-01
DOL650,Central_Warehouse,522,103,347,7,2024-01-01
PAN040,Central_Warehouse,197,65,279,7,2024-01-01
ASP075,Central_Warehouse,346,61,206,7,2024-01-01
PCM001,Central_Warehouse,629,111,62,7,2024-01-02
AMX500,Central_Warehouse,318,68,315,7,2024-01-02
IBU400,Central_Warehouse,618,70,233,7,2024-01-02
MET850,Central_Warehouse,145,72,267,7,2024-01-02
CTZ010,Central_Warehouse,566,67,292,7,2024-01-02
OMP020,Central_Warehouse,498,69,141,7,2024-01-02
AZI250,Central_Warehouse,947,71,155,7,2024-01-02
DOL650,Central_Warehouse,560,111,337,7,2024-01-02
PAN040,Central_Warehouse,706,66,92,7,2024-01-02
ASP075,Central_Warehouse,544,72,264,7,2024-01-02
PCM001,Central_Warehouse,893,108,337,7,2024-01-03
AMX500,Central_Warehouse,806,71,125,7,2024-01-03
IBU400,Central_Warehouse,417,70,63,7,2024-01-03
MET850,Central_Warehouse,351,71,330,7,2024-01-03
CTZ010,Central_Warehouse,665,70,326,7,2024-01-03
OMP020,Central_Warehouse,323,68,266,7,2024-01-03
AZI250,Central_Warehouse,671,67,131,7,2024-01-03
DOL650,Central_Warehouse,270,117,218,7,2024-01-03
PAN040,Central_Warehouse,313,73,267,7,2024-01-03
ASP075,Central_Warehouse,586,73,210,7,2024-01-03
PCM001,Central_Warehouse,857,108,76,7,2024-01-04
AMX500,Central_Warehouse,871,73,182,7,2024-01-04
IBU400,Central_Warehouse,453,68,220,7,2024-01-04
MET850,Central_Warehouse,207,72,220,7,2024-01-04
CTZ010,Central_Warehouse,925,73,219,7,2024-01-04
OMP020,Central_Warehouse,475,69,42,7,2024-01-04
AZI250,Central_Warehouse,876,68,208,7,2024-01-04
DOL650,Central_Warehouse,473,109,172,7,2024-01-04
